#0
0.07, 0.13, 0.00, 0.00, 0.55, 0.14, 0.11, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
0.19, 0.19, 0.00, 0.16, 0.00, 0.14, 0.32, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
0.00, 0.00, 0.25, 0.00, 0.00, 0.00, 0.00, 0.00, 0.25, 0.00, 0.31, 0.00, 0.00, 0.19, 0.00
0.00, 0.00, 0.00, 0.25, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.30, 0.23, 0.00, 0.22
0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.24, 0.00, 0.76, 0.00, 0.00, 0.00, 0.00, 0.00
0.17, 0.14, 0.00, 0.00, 0.00, 0.26, 0.31, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.12, 0.00
0.24, 0.33, 0.00, 0.00, 0.00, 0.15, 0.15, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
0.00, 0.00, 0.00, 0.00, 0.12, 0.00, 0.00, 0.36, 0.00, 0.52, 0.00, 0.00, 0.00, 0.00, 0.00
0.00, 0.00, 0.52, 0.00, 0.00, 0.00, 0.00, 0.00, 0.12, 0.00, 0.24, 0.00, 0.00, 0.12, 0.00
0.00, 0.00, 0.00, 0.00, 0.28, 0.00, 0.00, 0.38, 0.00, 0.34, 0.00, 0.00, 0.00, 0.00, 0.00
0.00, 0.00, 0.40, 0.00, 0.00, 0.00, 0.00, 0.00, 0.12, 0.00, 0.24, 0.00, 0.00, 0.24, 0.00
0.00, 0.00, 0.00, 0.76, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.12, 0.12, 0.00, 0.00
0.00, 0.00, 0.00, 0.52, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.24, 0.00, 0.00, 0.24
0.00, 0.00, 0.64, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.12, 0.00, 0.00, 0.24, 0.00
0.00, 0.00, 0.00, 0.52, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.12, 0.24, 0.00, 0.12

#1
0.34, 0.00, 0.00, 0.00, 0.00, 0.32, 0.00, 0.34, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
0.00, 0.36, 0.12, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.52
0.00, 0.12, 0.24, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.24, 0.00, 0.40
0.00, 0.00, 0.00, 0.12, 0.00, 0.00, 0.00, 0.00, 0.12, 0.00, 0.24, 0.52, 0.00, 0.00, 0.00
0.00, 0.00, 0.00, 0.00, 0.31, 0.02, 0.15, 0.00, 0.00, 0.26, 0.00, 0.00, 0.00, 0.26, 0.00
0.40, 0.00, 0.00, 0.00, 0.00, 0.24, 0.00, 0.36, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
0.00, 0.00, 0.00, 0.00, 0.12, 0.00, 0.16, 0.00, 0.00, 0.23, 0.00, 0.00, 0.00, 0.25, 0.24
0.64, 0.00, 0.00, 0.00, 0.00, 0.24, 0.00, 0.12, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
0.00, 0.00, 0.00, 0.12, 0.00, 0.00, 0.00, 0.00, 0.24, 0.00, 0.12, 0.52, 0.00, 0.00, 0.00
0.00, 0.00, 0.00, 0.07, 0.30, 0.00, 0.26, 0.00, 0.00, 0.10, 0.00, 0.00, 0.00, 0.27, 0.00
0.00, 0.00, 0.00, 0.24, 0.00, 0.00, 0.00, 0.00, 0.24, 0.00, 0.00, 0.52, 0.00, 0.00, 0.00
0.00, 0.00, 0.00, 0.22, 0.00, 0.00, 0.00, 0.00, 0.22, 0.00, 0.29, 0.27, 0.00, 0.00, 0.00
0.00, 0.24, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.12, 0.00, 0.64
0.00, 0.00, 0.00, 0.00, 0.21, 0.00, 0.25, 0.00, 0.00, 0.20, 0.00, 0.00, 0.00, 0.22, 0.00
0.00, 0.29, 0.24, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.21, 0.00, 0.26

#2
0.24, 0.00, 0.00, 0.00, 0.00, 0.12, 0.00, 0.00, 0.00, 0.52, 0.12, 0.00, 0.00, 0.00, 0.00
0.00, 0.22, 0.00, 0.00, 0.00, 0.00, 0.26, 0.00, 0.00, 0.00, 0.00, 0.00, 0.27, 0.25, 0.00
